movie_id,actor_id,actor_name,is_director,title,return
77887,31.0,Tom Hanks,True,Hawaiian Vacation,0.0
82424,31.0,Tom Hanks,True,Small Fry,0.0
61415,1243.0,Woody Allen,True,Meetin' WA,0.0
172226,4431.0,Jessica Lange,False,In Secret,0.0
214096,85.0,Johnny Depp,True,Lucky Them,0.0
37641,31.0,Tom Hanks,True,Elvis Has Left the Building,0.0
116149,234120.0,Will Smith,False,Paddington,4.712858672727273
32624,85.0,Johnny Depp,True,When the Road Bends: Tales of a Gypsy Caravan,0.0
224141,5064.0,Meryl Streep,False,Into the Woods,4.25804744
224141,85.0,Johnny Depp,True,Into the Woods,4.25804744
243684,7056.0,Emma Thompson,False,"Men, Women & Children",0.0
228967,54693.0,Emma Stone,False,The Interview,0.2805143636363636
130925,31.0,Tom Hanks,True,Partysaurus Rex,0.0
256835,31.0,Tom Hanks,True,Toy Story That Time Forgot,0.0
63472,287.0,Brad Pitt,False,His Way,0.0
42619,4135.0,Robert Redford,True,Tell Them Willie Boy Is Here,0.0
42703,35.0,Sally Field,True,The Way West,0.0
140607,3.0,Harrison Ford,False,Star Wars: The Force Awakens,8.44172907755102
166426,85.0,Johnny Depp,True,Pirates of the Caribbean: Dead Men Tell No Tales,3.453008643478261
221144,35.0,Sally Field,True,Maybe I'll Come Home in the Spring,0.0
27137,4431.0,Jessica Lange,False,Sybil,0.0
284536,4431.0,Jessica Lange,False,The Gambler,1.5668452
210860,85.0,Johnny Depp,True,Mortdecai,0.506976
54052,18277.0,Sandra Bullock,False,Who Do I Gotta Kill?,0.0
123235,1243.0,Woody Allen,True,Paris-Manhattan,0.0
232572,4135.0,Robert Redford,True,A Walk in the Woods,4.498885875
232572,7056.0,Emma Thompson,False,A Walk in the Woods,4.498885875
318224,500.0,Tom Cruise,False,Going Clear: Scientology and the Prison of Belief,0.0
213831,3.0,Harrison Ford,False,Drew: The Man Behind the Poster,0.0
114155,7056.0,Emma Thompson,False,Effie Gray,0.0
256591,2888.0,Will Smith,False,Focus,3.0731130339321355
56379,1038.0,Jodie Foster,True,Beach House,0.0
253639,31.0,Tom Hanks,True,And the Oscar Goes To...,0.0
147264,1243.0,Woody Allen,True,The Outsider,0.0
293863,3.0,Harrison Ford,False,The Age of Adaline,2.62653104
290304,6384.0,Keanu Reeves,True,21 Years: Richard Linklater,0.0
241257,10990.0,Emma Watson,False,Regression,0.0
173205,5064.0,Meryl Streep,False,Girl Rising,0.0
275601,5064.0,Meryl Streep,False,Ricki and the Flash,2.295851555555556
321769,6384.0,Keanu Reeves,True,Deep Web,0.0
222936,54693.0,Emma Stone,False,Aloha,0.70946
84196,5064.0,Meryl Streep,False,A Fierce Green Fire,0.0
84196,4135.0,Robert Redford,True,A Fierce Green Fire,0.0
259316,85.0,Johnny Depp,True,Fantastic Beasts and Where to Find Them,4.496346288888889
38700,2888.0,Will Smith,False,Bad Boys for Life,0.0
74849,3.0,Harrison Ford,False,The Star Wars Holiday Special,0.0
297761,2888.0,Will Smith,False,Suicide Squad,4.2605717371428575
211672,18277.0,Sandra Bullock,False,Minions,15.631499486486486
261023,85.0,Johnny Depp,True,Black Mass,1.8648655094339623
262436,5292.0,Denzel Washington,True,Champs,0.0
41869,5292.0,Denzel Washington,True,The George McKenna Story,0.0
112672,190.0,Clint Eastwood,True,Ambush at Cimarron Pass,0.0
281957,6193.0,Leonardo DiCaprio,False,The Revenant,3.947781503703704
282984,54693.0,Emma Stone,False,Irrational Man,2.4900985454545457
318781,10990.0,Emma Watson,False,Colonia,0.2586461428571429
245168,5064.0,Meryl Streep,False,Suffragette,1.14303
263472,6384.0,Keanu Reeves,True,Knock Knock,2.5366736
10317,18277.0,Sandra Bullock,False,Our Brand Is Crisis,0.25008075
295964,7056.0,Emma Thompson,False,Burnt,1.83033715
314385,287.0,Brad Pitt,False,By the Sea,0.3727746
339988,10990.0,Emma Watson,False,The Circle,1.1387691111111111
339988,31.0,Tom Hanks,True,The Circle,1.1387691111111111
296098,31.0,Tom Hanks,True,Bridge of Spies,4.1369587
30933,35.0,Sally Field,True,Home for the Holidays,0.0
4912,287.0,Brad Pitt,False,Confessions of a Dangerous Mind,1.100460166666667
321741,2888.0,Will Smith,False,Concussion,1.4389654285714286
293603,5064.0,Meryl Streep,False,The Roosevelts: An Intimate History,0.0
119694,1243.0,Woody Allen,True,The Sunshine Boys,0.0
80775,190.0,Clint Eastwood,True,Away All Boats,0.0
300693,4135.0,Robert Redford,True,Truth,0.2647452083333333
318846,287.0,Brad Pitt,False,The Big Short,4.762375214285714
283596,7056.0,Emma Thompson,False,The Legend of Barney Thomson,0.0
357681,287.0,Brad Pitt,False,Hitting the Apex,0.0
291537,500.0,Tom Cruise,False,Winning: The Racing Life of Paul Newman,0.0
291537,4135.0,Robert Redford,True,Winning: The Racing Life of Paul Newman,0.0
62768,6384.0,Keanu Reeves,True,Flying,0.0
331962,6384.0,Keanu Reeves,True,Exposed,0.0
