movie_id,director_id,director_name,title,release_date,budget,revenue,return
8197,190,Clint Eastwood,Midnight in the Garden of Good and Evil,1997-11-21,35000000.0,25105255.0,0.717293
597,2710,James Cameron,Titanic,1997-11-18,200000000.0,1845034188.0,9.22517094
184,138,Quentin Tarantino,Jackie Brown,1997-12-24,12000000.0,39673162.0,3.306096833333333
9746,1032,Martin Scorsese,Kundun,1997-12-25,28000000.0,5684789.0,0.2030281785714285
115,1223,Joel Coen,The Big Lebowski,1998-03-06,15000000.0,46189568.0,3.079304533333333
11485,1243,Woody Allen,Take the Money and Run,1969-08-18,1500000.0,0.0,0.0
11051,1032,Martin Scorsese,The Last Temptation of Christ,1988-08-12,7000000.0,8373585.0,1.1962264285714286
242,1776,Francis Ford Coppola,The Godfather: Part III,1990-12-24,54000000.0,136766062.0,2.532704851851852
857,488,Steven Spielberg,Saving Private Ryan,1998-07-24,70000000.0,481840909.0,6.8834415571428575
10849,1243,Woody Allen,The Purple Rose of Cairo,1985-03-01,15000000.0,10631333.0,0.7087555333333333
227,1776,Francis Ford Coppola,The Outsiders,1983-03-25,10000000.0,33697647.0,3.3697647
87,488,Steven Spielberg,Indiana Jones and the Temple of Doom,1984-05-23,28000000.0,333000000.0,11.892857142857142
1580,2636,Alfred Hitchcock,Rope,1948-08-23,1500000.0,2200000.0,1.4666666666666666
5854,2636,Alfred Hitchcock,Family Plot,1976-04-09,2000000.0,7900000.0,3.95
573,2636,Alfred Hitchcock,Frenzy,1972-05-25,3500000.0,12600000.0,3.6
2370,2636,Alfred Hitchcock,Topaz,1969-12-18,4000000.0,6000000.0,1.5
5780,2636,Alfred Hitchcock,Torn Curtain,1966-07-13,3000000.0,13000000.0,4.333333333333333
506,2636,Alfred Hitchcock,Marnie,1964-07-09,2135161.0,7000000.0,3.278441297869341
22527,2636,Alfred Hitchcock,The Wrong Man,1956-12-22,1200000.0,2000000.0,1.6666666666666667
574,2636,Alfred Hitchcock,The Man Who Knew Too Much,1956-06-01,2500000.0,10250000.0,4.1
11219,2636,Alfred Hitchcock,The Trouble with Harry,1955-10-03,1200000.0,7000000.0,5.833333333333333
30159,2636,Alfred Hitchcock,I Confess,1953-02-28,0.0,0.0,0.0
845,2636,Alfred Hitchcock,Strangers on a Train,1951-06-18,1200000.0,7000000.0,5.833333333333333
1978,2636,Alfred Hitchcock,Stage Fright,1950-02-23,0.0,0.0,0.0
4175,2636,Alfred Hitchcock,Under Capricorn,1949-09-08,0.0,0.0,0.0
31667,2636,Alfred Hitchcock,The Paradine Case,1947-12-31,4258000.0,0.0,0.0
13321,2636,Alfred Hitchcock,Lifeboat,1944-01-11,1590000.0,0.0,0.0
21734,2636,Alfred Hitchcock,Shadow of a Doubt,1943-01-16,0.0,0.0,0.0
31997,2636,Alfred Hitchcock,Saboteur,1942-04-24,0.0,0.0,0.0
24197,2636,Alfred Hitchcock,Mr. & Mrs. Smith,1941-01-30,0.0,0.0,0.0
11462,2636,Alfred Hitchcock,Suspicion,1941-11-14,1103000.0,4500000.0,4.0797824116047146
31995,2636,Alfred Hitchcock,Jamaica Inn,1939-05-11,0.0,0.0,0.0
940,2636,Alfred Hitchcock,The Lady Vanishes,1938-07-26,0.0,0.0,0.0
2762,2636,Alfred Hitchcock,Young and Innocent,1937-11-01,0.0,0.0,0.0
12684,2636,Alfred Hitchcock,Sabotage,1936-12-02,0.0,0.0,0.0
2761,2636,Alfred Hitchcock,Secret Agent,1936-06-12,0.0,0.0,0.0
8208,2636,Alfred Hitchcock,The Man Who Knew Too Much,1934-11-30,0.0,0.0,0.0
52907,2636,Alfred Hitchcock,Waltzes from Vienna,1934-01-31,0.0,0.0,0.0
15007,2636,Alfred Hitchcock,Number Seventeen,1932-07-18,0.0,0.0,0.0
36049,2636,Alfred Hitchcock,Rich and Strange,1931-12-10,0.0,0.0,0.0
52748,2636,Alfred Hitchcock,The Skin Game,1931-02-26,0.0,0.0,0.0
75793,2636,Alfred Hitchcock,Elstree Calling,1930-02-01,0.0,0.0,0.0
47695,2636,Alfred Hitchcock,Juno and the Paycock,1930-06-29,0.0,0.0,0.0
31930,2636,Alfred Hitchcock,Murder!,1930-07-31,0.0,0.0,0.0
20213,2636,Alfred Hitchcock,The Manxman,1929-01-21,0.0,0.0,0.0
543,2636,Alfred Hitchcock,Blackmail,1929-06-30,0.0,0.0,0.0
36054,2636,Alfred Hitchcock,Champagne,1928-08-19,0.0,0.0,0.0
52782,2636,Alfred Hitchcock,Downhill,1927-10-24,0.0,0.0,0.0
36055,2636,Alfred Hitchcock,Easy Virtue,1928-03-05,0.0,0.0,0.0
36056,2636,Alfred Hitchcock,The Ring,1927-10-01,0.0,0.0,0.0
2760,2636,Alfred Hitchcock,The Lodger: A Story of the London Fog,1927-02-14,12000.0,0.0,0.0
64398,2636,Alfred Hitchcock,The Pleasure Garden,1925-11-03,0.0,0.0,0.0
11337,1243,Woody Allen,Stardust Memories,1980-09-26,10000000.0,10389003.0,1.0389003
